127.0.0.1 - - [30/Oct/2019:23:26:07 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:26:44 -0300] "GET /Estoque/faces/templates/modeloSistema.xhtml HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:26:44 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:27:59 -0300] "GET /Estoque/faces/templates/modeloSistema.xhtml HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:27:59 -0300] "GET /Estoque/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:27:59 -0300] "GET /Estoque/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:27:59 -0300] "GET /Estoque/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:27:59 -0300] "GET /Estoque/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:27:59 -0300] "GET /Estoque/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:28:00 -0300] "GET /Estoque/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 28091
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:28:00 -0300] "GET /Estoque/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:28:45 -0300] "GET /Estoque/faces/templates/modeloSistema.xhtml HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:44:10 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:44:10 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:45:42 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:45:53 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:46:32 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 500 2905
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:46:34 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 500 2905
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:47:28 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 500 2905
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:48:14 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 200 3287
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:48:14 -0300] "GET /Estoque/faces/javax.faces.resource/images/ui-icons_616161_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:48:15 -0300] "GET /Estoque/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:48:44 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:53:59 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:53:59 -0300] "GET /Estoque/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2788
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:54:36 -0300] "GET /Estoque/faces/pages/mainMenu.xhtml HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:54:36 -0300] "GET /Estoque/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [30/Oct/2019:23:55:26 -0300] "GET /Estoque/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2005
